1000,"['soda', 'whole milk', 'whole milk', 'sausage', 'pickled vegetables', 'canned beer', 'yogurt', 'misc. beverages', 'salty snack', 'sausage', 'semi-finished bread', 'hygiene articles', 'pastry']"
1001,"['whole milk', 'sausage', 'curd', 'soda', 'beef', 'frankfurter', 'white bread', 'frankfurter', 'whipped/sour cream', 'rolls/buns', 'whole milk', 'soda']"
1002,"['other vegetables', 'frozen vegetables', 'specialty chocolate', 'sugar', 'butter', 'whole milk', 'tropical fruit', 'butter milk']"
1003,"['rolls/buns', 'dental care', 'detergent', 'sausage', 'rolls/buns', 'rolls/buns', 'frozen meals', 'root vegetables']"
1004,"['whole milk', 'packaged fruit/vegetables', 'whole milk', 'canned beer', 'chocolate', 'dish cleaner', 'shopping bags', 'other vegetables', 'pip fruit', 'red/blush wine', 'root vegetables', 'whole milk', 'frozen fish', 'hygiene articles', 'pastry', 'chocolate', 'rolls/buns', 'other vegetables', 'tropical fruit', 'rolls/buns', 'cling film/bags']"
1005,"['whipped/sour cream', 'rolls/buns', 'margarine', 'rolls/buns']"
1006,"['shopping bags', 'frankfurter', 'rice', 'frankfurter', 'softener', 'whole milk', 'rolls/buns', 'skin care', 'rolls/buns', 'bottled water', 'chicken', 'chocolate', 'whole milk', 'bottled beer', 'flour']"
1008,"['liver loaf', 'root vegetables', 'yogurt', 'soda', 'dessert', 'hamburger meat', 'tropical fruit', 'photo/film', 'white wine', 'liquor (appetizer)', 'yogurt', 'domestic eggs']"
1009,"['tropical fruit', 'herbs', 'yogurt', 'newspapers', 'ketchup', 'cocoa drinks', 'pastry', 'yogurt', 'canned fish']"
1010,"['sliced cheese', 'coffee', 'pip fruit', 'candles', 'rolls/buns', 'kitchen towels', 'bottled water', 'frankfurter', 'specialty bar', 'bottled water', 'UHT-milk', 'pip fruit']"
1011,"['rolls/buns', 'grapes', 'yogurt', 'herbs', 'other vegetables', 'whole milk', 'curd cheese', 'candy', 'bottled water', 'frankfurter', 'candles', 'citrus fruit', 'pastry']"
1012,"['processed cheese', 'tropical fruit', 'whole milk', 'frankfurter', 'brown bread', 'rolls/buns', 'root vegetables', 'shopping bags', 'onions', 'yogurt', 'frozen vegetables']"
1013,"['mustard', 'mustard', 'frozen meals', 'domestic eggs', 'whipped/sour cream', 'frozen vegetables', 'other vegetables', 'whole milk', 'mayonnaise', 'root vegetables', 'bottled water', 'white bread', 'whole milk', 'napkins', 'tropical fruit', 'roll products ', 'candy', 'hard cheese', 'meat']"
1014,"['whole milk', 'hamburger meat', 'rolls/buns', 'bottled beer', 'sausage', 'yogurt', 'cookware', 'whole milk', 'canned beer', 'butter milk']"
1015,"['fruit/vegetable juice', 'rolls/buns', 'salty snack', 'beef', 'whole milk', 'citrus fruit', 'chocolate']"
1016,"['oil', 'UHT-milk', 'bottled beer', 'frankfurter', 'soft cheese', 'pip fruit', 'pip fruit', 'mayonnaise', 'rolls/buns', 'red/blush wine', 'chicken']"
1017,"['rolls/buns', 'brown bread', 'dessert', 'root vegetables', 'other vegetables', 'other vegetables', 'pet care', 'yogurt', 'soda', 'shopping bags', 'beef']"
1018,"['long life bakery product', 'curd', 'domestic eggs', 'root vegetables', 'beverages', 'butter milk', 'cake bar', 'berries']"
1019,"['red/blush wine', 'hamburger meat']"
1020,"['frozen meals', 'spices', 'frozen fish', 'yogurt', 'newspapers', 'canned beer', 'rolls/buns', 'canned beer', 'shopping bags', 'butter']"
1021,"['liquor', 'rolls/buns', 'sliced cheese', 'tropical fruit', 'yogurt', 'curd', 'butter', 'baking powder']"
